reg;cl_age90;Dc_Elec_Covid_cum;jour
01;0;0;2020-03-06
01;0;0;2020-03-07
01;0;0;2020-03-08
01;0;0;2020-03-09
01;0;0;2020-03-10
01;0;0;2020-03-11
01;0;0;2020-03-12
01;0;0;2020-03-13
01;0;0;2020-03-14
01;0;0;2020-03-15
01;0;0;2020-03-16
01;0;0;2020-03-17
01;0;0;2020-03-18
01;0;0;2020-03-19
01;0;0;2020-03-20
01;0;0;2020-03-21
01;0;0;2020-03-22
01;0;0;2020-03-23
01;0;0;2020-03-24
01;0;0;2020-03-25
01;0;0;2020-03-26
01;0;0;2020-03-27
01;0;0;2020-03-28
01;0;0;2020-03-29
01;0;0;2020-03-30
01;0;0;2020-03-31
01;0;0;2020-04-01
01;0;0;2020-04-02
01;0;1;2020-04-03
01;0;1;2020-04-04
01;0;1;2020-04-05
01;0;1;2020-04-06
01;0;1;2020-04-07
01;0;1;2020-04-08
01;0;1;2020-04-09
01;0;1;2020-04-10
01;0;1;2020-04-11
01;0;1;2020-04-12
01;0;1;2020-04-13
01;0;2;2020-04-14
01;0;2;2020-04-15
01;0;2;2020-04-16
01;0;2;2020-04-17
01;0;2;2020-04-18
01;0;2;2020-04-19
01;0;2;2020-04-20
01;0;2;2020-04-21
01;0;2;2020-04-22
01;0;2;2020-04-23
01;0;2;2020-04-24
01;0;2;2020-04-25
01;0;2;2020-04-26
01;0;2;2020-04-27
01;0;2;2020-04-28
01;0;2;2020-04-29
01;0;2;2020-04-30
01;0;2;2020-05-01
01;0;2;2020-05-02
01;0;2;2020-05-03
01;0;2;2020-05-04
01;0;2;2020-05-05
01;0;2;2020-05-06
01;0;2;2020-05-07
01;0;2;2020-05-08
01;0;2;2020-05-09
01;0;2;2020-05-10
01;0;2;2020-05-11
01;0;2;2020-05-12
01;0;2;2020-05-13
01;0;2;2020-05-14
01;0;2;2020-05-15
01;0;2;2020-05-16
01;0;2;2020-05-17
01;09;0;2020-03-06
01;09;0;2020-03-07
01;09;0;2020-03-08
01;09;0;2020-03-09
01;09;0;2020-03-10
01;09;0;2020-03-11
01;09;0;2020-03-12
01;09;0;2020-03-13
01;09;0;2020-03-14
01;09;0;2020-03-15
01;09;0;2020-03-16
01;09;0;2020-03-17
01;09;0;2020-03-18
01;09;0;2020-03-19
01;09;0;2020-03-20
01;09;0;2020-03-21
01;09;0;2020-03-22
01;09;0;2020-03-23
01;09;0;2020-03-24
01;09;0;2020-03-25
01;09;0;2020-03-26
01;09;0;2020-03-27
01;09;0;2020-03-28
01;09;0;2020-03-29
01;09;0;2020-03-30
01;09;0;2020-03-31
01;09;0;2020-04-01
01;09;0;2020-04-02
01;09;0;2020-04-03
01;09;0;2020-04-04
01;09;0;2020-04-05
01;09;0;2020-04-06
01;09;0;2020-04-07
01;09;0;2020-04-08
01;09;0;2020-04-09
01;09;0;2020-04-10
01;09;0;2020-04-11
01;09;0;2020-04-12
01;09;0;2020-04-13
