age,male_death_prob,male_n_lives,male_life_expectancy,female_death_prob,female_n_lives,female_life_expectancy,year
0,0.006064,100000.0,74.74,0.005119,100000.0,80.18,2022
1,0.000491,99394.0,74.2,0.000398,99488.0,79.6,2022
2,0.000309,99345.0,73.23,0.00024,99449.0,78.63,2022
3,0.000248,99314.0,72.25,0.000198,99425.0,77.65,2022
4,0.000199,99290.0,71.27,0.00016,99405.0,76.66,2022
5,0.000167,99270.0,70.29,0.000134,99389.0,75.67,2022
6,0.000143,99253.0,69.3,0.000118,99376.0,74.68,2022
7,0.000126,99239.0,68.31,0.000109,99364.0,73.69,2022
8,0.000121,99226.0,67.32,0.000106,99353.0,72.7,2022
9,0.000121,99214.0,66.32,0.000106,99343.0,71.71,2022
10,0.000127,99202.0,65.33,0.000111,99332.0,70.72,2022
11,0.000143,99190.0,64.34,0.000121,99321.0,69.72,2022
12,0.000171,99176.0,63.35,0.00014,99309.0,68.73,2022
13,0.000227,99159.0,62.36,0.000162,99295.0,67.74,2022
14,0.00032,99136.0,61.37,0.000188,99279.0,66.75,2022
15,0.000451,99104.0,60.39,0.000224,99260.0,65.76,2022
16,0.000622,99060.0,59.42,0.000276,99238.0,64.78,2022
17,0.000826,98998.0,58.46,0.000337,99211.0,63.8,2022
18,0.001026,98916.0,57.5,0.000395,99177.0,62.82,2022
19,0.001182,98815.0,56.56,0.00045,99138.0,61.84,2022
20,0.001301,98698.0,55.63,0.000496,99094.0,60.87,2022
21,0.001404,98570.0,54.7,0.000532,99044.0,59.9,2022
22,0.001498,98431.0,53.78,0.000567,98992.0,58.93,2022
23,0.001586,98284.0,52.86,0.00061,98936.0,57.97,2022
24,0.001679,98128.0,51.94,0.00065,98875.0,57.0,2022
25,0.001776,97963.0,51.03,0.000699,98811.0,56.04,2022
26,0.001881,97789.0,50.12,0.000743,98742.0,55.08,2022
27,0.001985,97605.0,49.21,0.000796,98669.0,54.12,2022
28,0.002095,97412.0,48.31,0.000855,98590.0,53.16,2022
29,0.002219,97208.0,47.41,0.000924,98506.0,52.2,2022
30,0.002332,96992.0,46.51,0.000988,98415.0,51.25,2022
31,0.002445,96766.0,45.62,0.001053,98318.0,50.3,2022
32,0.002562,96529.0,44.73,0.001123,98214.0,49.35,2022
33,0.002653,96282.0,43.84,0.001198,98104.0,48.41,2022
34,0.002716,96026.0,42.96,0.001263,97986.0,47.47,2022
35,0.002791,95765.0,42.08,0.001324,97863.0,46.53,2022
36,0.002894,95498.0,41.19,0.001403,97733.0,45.59,2022
37,0.002994,95222.0,40.31,0.001493,97596.0,44.65,2022
38,0.003091,94937.0,39.43,0.001596,97450.0,43.72,2022
39,0.003217,94643.0,38.55,0.0017,97295.0,42.79,2022
40,0.003353,94339.0,37.67,0.001803,97129.0,41.86,2022
41,0.003499,94022.0,36.8,0.001905,96954.0,40.93,2022
42,0.003642,93693.0,35.93,0.002009,96769.0,40.01,2022
43,0.003811,93352.0,35.05,0.002116,96575.0,39.09,2022
44,0.003996,92997.0,34.19,0.002223,96371.0,38.17,2022
45,0.004175,92625.0,33.32,0.002352,96156.0,37.25,2022
46,0.004388,92238.0,32.46,0.002516,95930.0,36.34,2022
47,0.004666,91833.0,31.6,0.002712,95689.0,35.43,2022
48,0.004973,91405.0,30.75,0.002936,95429.0,34.53,2022
49,0.005305,90950.0,29.9,0.003177,95149.0,33.63,2022
50,0.005666,90468.0,29.05,0.003407,94847.0,32.73,2022
51,0.006069,89955.0,28.22,0.003642,94524.0,31.84,2022
52,0.006539,89409.0,27.39,0.003917,94180.0,30.96,2022
53,0.007073,88825.0,26.56,0.004238,93811.0,30.08,2022
54,0.007675,88196.0,25.75,0.004619,93413.0,29.2,2022
55,0.008348,87520.0,24.94,0.00504,92982.0,28.34,2022
56,0.009051,86789.0,24.15,0.005493,92513.0,27.48,2022
57,0.009822,86003.0,23.37,0.005987,92005.0,26.63,2022
58,0.010669,85159.0,22.59,0.006509,91454.0,25.78,2022
59,0.011548,84250.0,21.83,0.007067,90859.0,24.95,2022
60,0.012458,83277.0,21.08,0.007658,90217.0,24.12,2022
61,0.013403,82240.0,20.34,0.008305,89526.0,23.31,2022
62,0.01445,81138.0,19.61,0.008991,88782.0,22.5,2022
63,0.015571,79965.0,18.89,0.009681,87984.0,21.7,2022
64,0.016737,78720.0,18.18,0.010343,87132.0,20.9,2022
65,0.017897,77402.0,17.48,0.011018,86231.0,20.12,2022
66,0.019017,76017.0,16.79,0.011743,85281.0,19.34,2022
67,0.020213,74572.0,16.11,0.012532,84279.0,18.56,2022
68,0.021569,73064.0,15.43,0.013512,83223.0,17.79,2022
69,0.023088,71488.0,14.76,0.014684,82099.0,17.03,2022
70,0.024828,69838.0,14.09,0.016025,80893.0,16.27,2022
71,0.026705,68104.0,13.44,0.017468,79597.0,15.53,2022
72,0.028761,66285.0,12.8,0.019195,78206.0,14.8,2022
73,0.031116,64379.0,12.16,0.021195,76705.0,14.08,2022
